,text,dataset,aspect_str,aspects
0,"this O is O an O edited O review O , O now O that O i O have O had O time O to O use O the O device O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
1,"while O , O there O are O flaws O with O the O machine O , O the O xtra O gets O five O stars O because O of O its O affordability B-aspect . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,affordability[+3],['affordability']
2,it O is O the O most O bang-for-the-buck B-aspect out O there O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,bang-for-the-buck[+3][u],['bang-for-the-buck']
3,"like O it O 's O predecessor O , O the O quickly O revised O nx O , O this O player O boasts O a O decent O size B-aspect and O weight B-aspect , O a O relatively-intuitive O navigational B-aspect system I-aspect that O categorizes O based O on O id3 O tags O , O and O excellent O sound B-aspect widely O known O to O be O better O than O ipod O - O not O surprising O considering O the O number O of O years O creative O has O been O in O the O audio O peripheral O business O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"size[+2],weight[+2],navigational system[+2], sound[+3]","['size', 'weight', 'navigational system', 'sound']"
4,"the O xtra O improves O upon O the O zen O nx O with O a O larger O , O now-blue O backlit O screen B-aspect , O which O is O infinitely O better O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,screen[+3],['screen']
5,"further O , O the O xtra O doubles O the O maximum O filecount O capacity O to O 16000 O mp3 O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
6,this O is O especially O useful O for O those O who O listen O mostly O to O pop O music O and O store O all O those O short O ditties O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
7,"when O compared O to O the O ipod O the O zen O xtra O falls O short O , O but O only O by O a O bit O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
8,"yes O the O ipod O is O smaller O , O but O not O $ O 200 O worth O , O which O is O the O premium O you O 'll O pay O for O an O equivalent O capacity O model O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
9,"yes O , O the O ipod O looks O in O tune O with O the O carefully O articulated O urban-hipster O persona O thats O become O popular O as O of O late O , O but O sure-as-hell O is O n't O worth O the O $ O 200 O premium O unless O you O are O just O dying O to O match O your O music O player O with O that O volkswagen O beetle O and O urban O outfitters O wardrobe O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
10,"for O me O , O i O 'll O save O that O cash O for O another O purchase O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
11,"before O i O decided O to O get O this O player O , O i O did O my O research O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
12,"i O looked O up O the O ipod O , O the O dell O jukebox O , O and O the O samsung O napster O player O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
13,"i O chose O this O one O because O from O what O i O read O , O it O was O the O best O deal B-aspect for O the O money O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,deal[+3],['deal']
14,another O reason O i O got O it O is O because O you O can O put O wma O files O on O it O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,wma file[+2],['wma file']
15,that O takes O up O half O the O space O of O mp3 O 's O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
16,that O 's O important O because O i O have O a O lot O of O music O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
17,the O software B-aspect is O great O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[+2],['software']
18,"you O can O sort O your O music O by O artist O , O title O , O album O , O or O genre O , O and O you O can O play O music O based O on O those O categories O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
19,"transfering O is O easy O , O the O software B-aspect makes O everythig O pretty O easy O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[+2],['software']
20,"even O the O battery B-aspect life I-aspect is O great O - O it O advertises O 14 O hours O , O it O 's O actually O a O little O less O but O still O good O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,battery life[+2],['battery life']
21,"only O 1 O problem O , O no O accessories O ... O yet O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,accessory[-1],['accessory']
22,"i O hope O it O 's O because O it O 's O new O and O they O are O not O out O yet O , O but O being O without O a O remote B-aspect is O hard O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,remote[-2],['remote']
23,they O player O 's O interface B-aspect itself O is O also O very O easy O to O use O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,interface[+2],['interface']
24,"can O 't O complain O and O i O recommend O it O over O all O the O other O players O , O just O hope O that O remote O will O come O out O soon O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
25,"get O it O , O it O 's O woth O every O penny O ! O ! O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,player[+3][p],['player']
26,i O was O a O little O concerned O to O be O the O black O sheep O buying O this O player O instead O of O the O incredibly O overpriced O apple O i-pod O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
27,"i O 've O had O it O for O a O week O now O , O do O n't O regret O the O purchase O one O bit O , O and O i O never O leave O home O without O it O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,player[+3][p],['player']
28,"if O you O have O any O doubts O about O this O player O , O well O do O n't O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
29,"software B-aspect is O easy O to O use O although O redhat O software B-aspect is O better O , O but O costs O money O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[+2],['software']
30,"much O cheaper O than O i-pod O good O looking O player O beautiful O blue O back-lit O screen O if O you O 've O read O about O the O player O , O some O have O complained O about O the O lack O of O a O viewing O hole O for O the O face O when O the O case O is O on O , O but O this O is O good O because O the O face O does O n't O get O damaged O / O scratched O fast O transfer O rate O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,price[+2],['price']
31,no O issues O as O of O yet O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
32,"you O 're O going O to O need O to O buy O new O headphones O , O the O stock O ones O suck O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,headphone[-3],['headphone']
33,"hopefully O , O this O player O will O out O sell O the O ridculously O over-hyped O i-pod O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
34,"if O you O want O to O be O a O poser O and O follow O the O herd O , O mooooooh O , O then O buy O the O i-pod O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
35,"otherwise O , O be O smart O , O save O the O cash O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
36,for O me O the O sound O of O the O music O is O what O is O important O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
37,the O zen O xtra O sounds O great O with O good O headphone O and O well O recored O mp3s O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,sound[+2],['sound']
38,navigation B-aspect is O a O bit O tricky O and O takes O getting O used O to O but O the O included O pdf O instructions O cover O the O operation O pretty O well O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,navigation[-1],['navigation']
39,at O 8 O ounces O it O is O pretty O light O but O not O as O light O as O the O ipod O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,weight[+2],['weight']
40,the O battery B-aspect is O replaceable O a O real O plus O and O there O is O a O leather B-aspect case I-aspect another O real O plus O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"battery[+2],leather case[+2]","['battery', 'leather case']"
41,i O suppose O that O you O could O jog O with O it O but O it O seems O to O be O made O for O the O enjoyment O of O music O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
42,so O far O the O software B-aspect for O the O pc O works O easily O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[+2],['software']
43,"by O the O way O , O it O looks O nice O also O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,looking[+2],['looking']
44,this O thing O kicks O mighty O apple O butt O ! O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
45,"i O would O have O given O this O thing O 4.5 O stars O but O since O i O can O 't O , O i O 'll O be O sweet O and O give O it O the O full O 5 O stars O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
46,it O 's O worth O it O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,player[+3][p],['player']
47,"i O personally O do O n't O like O apple O or O their O business O practices O screwing O resellers O , O customers O and O employees O left O and O right O so O i O shopped O around O for O something O else O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
48,"after O finally O stumbling O upon O this O zen O nx O player O , O i O knew O i O had O found O what O i O was O looking O for O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
49,my O two O main O requirements O were O longer O battery B-aspect life I-aspect and O lower O price B-aspect : O i O found O both O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"battery life[+2],price[+2]","['battery life', 'price']"
50,this O thing O lasted O well O over O 14 O hours O when O i O played O it O straight O for O the O first O time O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
51,"the O zen O nx O is O $ O 100 O cheaper O than O the O ipod O of O the O same O size O , O so O you O have O to O wonder O just O how O much O apple O 's O markup O is O anyway O ! O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
52,"the O sound B-aspect is O excellent O , O but O a O tip O : O get O a O real O pair O of O headphones O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"sound[+3], headphone[-2]","['sound', 'headphone']"
53,you O wo O n't O appreciate O the O quality O this O thing O has O to O offer O unless O you O are O using O a O good O set O of O cans O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
54,"the O controls O are O on O the O side O instead O of O on O the O front O , O which O i O like O , O because O that O 's O where O my O thumb O is O when O i O hold O the O thing O ! O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,control[+2],['control']
55,the O scroll B-aspect wheel I-aspect is O a O big O improvement O over O the O ipod O touchpad O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,scroll wheel[+2],['scroll wheel']
56,"it O could O be O a O little O bit O bigger O , O but O it O 's O easy O to O get O used O to O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,size[-1],['size']
57,"the O screen B-aspect may O be O a O little O smaller O , O but O it O is O very O readable O and O does O n't O come O in O the O overused O blue O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,screen[-1],['screen']
58,"it O does O n't O have O firewire B-aspect , O not O a O real O complaint O since O most O windows O users O do O n't O generally O have O firewire B-aspect cards O themselves O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,firewire[-1],['firewire']
59,"i O would O have O appreciated O having O a O firewire O plug O , O however O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
60,"the O included O leather B-aspect pouch I-aspect is O a O big O plus O : O it O actually O protects O the O unit O well O , O something O a O lot O of O ' O carrying O cases O ' O fail O to O do O with O other O audio O devices O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,leather pouch[+3],['leather pouch']
61,"other O plusses O : O changable O battery B-aspect , O loads O of O presets O for O environments O , O decent O construction B-aspect , O still O quite O small O and O light O despite O being O slightly O bigger O than O an O ipod O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"battery[+2],construction[+2],size[+2],weight[+2]","['battery', 'construction', 'size', 'weight']"
62,did O i O mention O you O can O actually O change O the O battery O ? O hello O ? O apple O ? O are O you O listening O ? O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
63,i O probably O would O have O liked O to O have O a O player O in O something O other O than O silver O / O metallic O ... O like O the O battery O adapters O on O their O usb O thumbdrive O muvo O nx O mp3 O player O models O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
64,"since O the O front O plate O is O removable O to O access O the O battery O compartment O , O aftermarket O alternate O covers O would O not O be O difficult O or O expensive O to O make O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
65,"overall O : O small O , O sounds O great O , O and O less O expensive O than O apple O 's O overpriced O ipod O ! O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"size[+1][u],sound[+2],price[+2]","['size', 'sound', 'price']"
66,batteries O last O longer O too O ! O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,battery[+2],['battery']
67,"i O shopped O around O for O a O month O looking O for O a O good O mp3 O player O , O and O all O i O heard O was O how O good O the O i-pod O was O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
68,after O messing O with O it O at O a O store O i O noticed O how O bad O the O i-pod O was O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
69,"it O was O marked O up O increadably O high O compared O to O other O models O almost O $ O 500 O for O a O 30gb O , O and O theres O was O nothing O about O it O that O made O it O worth O that O much O money O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
70,the O creative O labs O zen O xtra O has O all O the O features O the O i-pod O has O and O if O you O get O if O from O amazon O your O only O going O to O pay O $ O 300 O for O this O great O player B-aspect . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"player[+], price[+3]","['player', 'price']"
71,"i O 've O had O it O for O about O 2 O weeks O and O it O 's O the O best O player B-aspect i O 've O seen O , O and O used O , O ever O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,player[+3],['player']
72,"the O music O is O easy O to O get O to O all O of O the O menus O are O easy O to O understand O despite O what O alot O of O i-pod O owners O say O and O if O you O know O how O to O search O for O an O artist O by O name O online O , O then O you O can O do O the O same O with O the O zen O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,menu[+2],['menu']
73,"the O screen B-aspect is O very O easy O to O read O and O the O blue O light O is O bright O enough O to O read O at O night O , O but O dim O enough O so O it O does O n't O blind O you O when O you O stare O too O long O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,screen[+2],['screen']
74,"all O in O all O this O a O great O player B-aspect that O blows O the O i-pod O away O , O with O easy O to O use B-aspect and O understand O features O , O software B-aspect that O is O simple O to O understand O and O use B-aspect , O and O a O great O sound B-aspect which O is O all O that O matters O in O a O mp3 O player B-aspect . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,"player[+3],use[+3], software[+2],sound[+3]","['player', 'use', 'software', 'sound']"
75,just O get O some O new O headphones O and O your O set O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
76,within O 5 O minutes O i O was O able O to O transfer O files O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
77,it O 's O a O very O intuitive O program B-aspect . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,program[+3],['program']
78,i O had O no O problems O following O their O installation B-aspect instructions O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,installation[+2],['installation']
79,the O menus O are O very O easy O to O navigate O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,menu[+3],['menu']
80,"the O only O complaint O i O have O is O that O when O you O push O in O the O scroll B-aspect wheel I-aspect to O select O , O you O have O to O push O straight O in O or O it O sticks O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,scroll wheel[-1],['scroll wheel']
81,the O other O controls O are O all O very O easy O to O use O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,control[+3],['control']
82,"it O has O several O play O options O , O one O of O the O best O is O an O option O to O shuffle O , O based O on O all O or O a O certain O playlist O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,play option[+1],['play option']
83,"the O only O downside O i O see O is O that O it O does O n't O look O like O you O can O manage O playlists O from O the O nomad O , O it O has O to O be O done O from O the O computer O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,playlist[-1],['playlist']
84,"unlike O the O ipod O , O this O is O fully O windows O compatible O and O can O be O used O right O out O of O the O box O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
85,for O ipod O you O have O to O buy O a O cable O and O it O is O n't O compatible O with O all O windows O pcs O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
86,it O also O costs O a O lot O less O than O the O ipod O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,price[+2][u],['price']
87,the O earbuds O that O come O with O it O are O n't O that O bad O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,earbud[+1],['earbud']
88,"they O 're O pretty O comfortable O , O stay O in O place O and O deliver O a O decent O audio O quality O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,earbud[+2][p],['earbud']
89,this O is O a O good O deal B-aspect for O music O and O data O storage O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,deal[+2],['deal']
90,"one O thing O i O should O note O is O that O i O have O only O had O this O product O for O one O day O , O so O there O are O many O options O i O have O not O explored O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
91,the O main O problem O with O the O nomad O jukebox O zen O xtra O 30 O gb O is O the O software B-aspect . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[-2],['software']
92,"on O my O relatively O new O computer O p4 O with O windows O xp O and O usb O 2.0 O , O the O os O complained O about O the O installation O of O the O drivers O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
93,"despite O the O instructions O insisting O that O the O process O was O fairly O automatic O , O i O had O to O install O the O usb O drivers O and O the O nomad O interface O software O manually O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
94,"the O interface O software B-aspect itself O , O which O should O be O user-friendly O , O was O anything O but O easy-to-use O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,software[-2],['software']
95,"with O the O nomad O explorer O software O , O songs O should O be O drag-and-drop O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
96,i O have O not O yet O tried O the O cd-ripping O program O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,,[]
97,the O player B-aspect itself O has O all O sorts O of O problems O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,player[-2],['player']
98,"the O face-plate O , O which O pops O out O for O the O battery O , O pops O open O by O itself O every O 10 O minutes O or O so O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,face plate[-1],['face plate']
99,"the O player O hangs O up O on O file B-aspect transfer I-aspect every O once-in-a-while O , O prompting O a O reset O . O",Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,file transfer[-1],['file transfer']
100,the O scroll B-aspect button O is O overly O sensitive O at O times O ; O not O sensitive O enough O at O others O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,scroll[-1],['scroll']
101,depressing O the O scroll B-aspect button O for O selecting O is O not O always O responsive O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,scroll[-1],['scroll']
102,the O scroll B-aspect bar O problems O make O the O task O of O creating O playlists O more O frustrating O . O,Creative Labs Nomad Jukebox Zen Xtra 40GB.txt,scroll[-1],['scroll']
