,text,dataset,aspect_str,aspects
0,These O speakers B-aspect are O incredibly O amazing O . O,Speaker.txt,speakers[+1] ,['speakers']
1,"Before O this O I O had O the O jbl O on O stage O , O which O were O also O incredibly O good O . O",Speaker.txt,,[]
2,But O I O wanted O something O that O I O can O play O without O having O to O plug O into O a O power O outlet O and O would O work O on O rechargable O batteries O . O,Speaker.txt,,[]
3,I O didnt O want O one O in O which O I O would O have O to O put O in O batteries O myself O -LRB- O that O is O a O pain O -RRB- O I O did O alot O of O research O and O read O a O bunch O of O reviews O and O im O glad O I O purchased O these O speakers B-aspect . O,Speaker.txt,speakers[+1] ,['speakers']
4,Most O of O the O reviews O about O the O sound O quality O is O true O . O,Speaker.txt,,[]
5,"The O speakers B-aspect have O a O very O rich O sound B-aspect and O good O bass B-aspect also O , O obviously O not O thumping O bass B-aspect for O which O you O would O need O a O huge O subwoofer O ! O ! O",Speaker.txt,"speakers[+1], sound[+1], bass[+1] ","['speakers', 'sound', 'bass']"
6,Although O the O bass O im O getting O out O of O these O speakers O was O unexpected O . O,Speaker.txt,,[]
7,"Without O a O doubt O I O would O say O that O these O speakers B-aspect have O the O same O sound B-aspect quality I-aspect as O the O jbl O on O stage O , O and O are O truly O portable B-aspect -LRB- O can O be O played O without O a O power O outlet O , O I O love O that O feature O -RRB- O . O",Speaker.txt,"speakers[+1], sound quality[+1], portable[+1][a] ","['speakers', 'sound quality', 'portable']"
8,The O only O downside O is O the O remote B-aspect which O requires O a O line O of O sight O . O,Speaker.txt,remote[-1] ,['remote']
9,Its O not O a O big O deal O for O me O . O,Speaker.txt,,[]
10,The O main O thing O I O was O looking O for O was O sound O quality O ! O,Speaker.txt,,[]
11,"I O read O all O the O reviews O herein O , O and O saw O all O the O concerns O . O",Speaker.txt,,[]
12,"First O , O i O was O looking O for O an O iPhone O dock O and O FM O tuner O , O not O necessarily O an O alarm O clock O - O as O its O for O the O office O . O",Speaker.txt,,[]
13,"I O must O say O : O - O IT O WORKS O WITH O IPHONE4 O , O EVEN O WITH O THIN O CASE O ON O IT O . O",Speaker.txt,,[]
14,just O push O it O into O the O slot O - O It O charges O the O iPhone4 O . O,Speaker.txt,,[]
15,"- O It O allows O incoming O calls O to O interrupt O the O music O , O and O you O can O answer O the O call O without O having O to O undock O it O . O",Speaker.txt,,[]
16,- O It O allows O incoming O email O and O TXT O messages O to O be O read O and O responded O to O w\/o O undocking O it O - O essentially O you O can O do O ALL O iPhone O apps O while O its O docked O . O,Speaker.txt,,[]
17,- O Sound B-aspect quality I-aspect is O good O . O,Speaker.txt,Sound quality[+1] ,['Sound quality']
18,- O Tuner B-aspect quality I-aspect is O good O . O,Speaker.txt,Tuner quality[+1] ,['Tuner quality']
19,"- O Looks B-aspect fantastic O , O esp O w\/iPhone4 O docked O ! O ! O",Speaker.txt,Looks[+1][v] ,['Looks']
20,"- O Setup B-aspect , O from O in O the O box O to O completely O working O , O and O programmed O for O 20 O preset O FM O stations O , O was O under O 5 O minutes O . O",Speaker.txt,Setup[+1][v] ,['Setup']
21,"- O I O bought O from O an O Amazon O Prime O Fullfiller O , O used O like O new O , O and O it O is O just O that O - O like O new O , O not O a O blemish O or O issue O , O and O for O $ O 56 O ... O I O have O no O qualms O about O this O . O",Speaker.txt,,[]
22,"Yes O , O the O buttons B-aspect are O a O bit O small O and O close O , O but O they O are O functional O . O",Speaker.txt,buttons[+1] ,['buttons']
