,text,dataset,aspect_str,aspects
0,i O recently O purchased O the O canon B-aspect powershot I-aspect g3 I-aspect and O am O extremely O satisfied O with O the O purchase O . O,Canon G3.txt,canon powershot g3[+3],['canon powershot g3']
1,"the O camera O is O very O easy O to O use B-aspect , O in O fact O on O a O recent O trip O this O past O week O i O was O asked O to O take O a O picture O of O a O vacationing O elderly O group O . O",Canon G3.txt,use[+2],['use']
2,"after O i O took O their O picture O with O their O camera O , O they O offered O to O take O a O picture O of O us O . O",Canon G3.txt,,[]
3,"i O just O told O them O , O press O halfway O , O wait O for O the O box O to O turn O green O and O press O the O rest O of O the O way O . O",Canon G3.txt,,[]
4,they O fired O away O and O the O picture B-aspect turned O out O quite O nicely O . O as O all O of O my O pictures O have O thusfar O . O,Canon G3.txt,picture[+2],['picture']
5,a O few O of O my O work O constituants O owned O the O g2 O and O highly O recommended O the O canon O for O picture B-aspect quality I-aspect . O,Canon G3.txt,picture quality[+1],['picture quality']
6,i O 'm O easily O enlarging O pictures O to O 8 O 1/2 O x O 11 O with O no O visable O loss O in O picture B-aspect quality I-aspect and O not O even O using O the O best O possible O setting O as O yet O super O fine O . O,Canon G3.txt,picture quality[+1],['picture quality']
7,"ensure O you O get O a O larger O flash O , O 128 O or O 256 O , O some O are O selling O with O the O larger O flash O , O 32mb O will O do O in O a O pinch O but O you O 'll O quickly O want O a O larger O flash O card O as O with O any O of O the O 4mp O cameras O . O",Canon G3.txt,,[]
8,"bottom O line O , O well O made O camera B-aspect , O easy O to O use B-aspect , O very O flexible O and O powerful O features O to O include O the O ability O to O use B-aspect external O flash O and O lense O / O filters O choices O . O",Canon G3.txt,"camera[+2], use[+2], feature[+1]","['camera', 'use', 'feature']"
9,i O 'd O highly O recommend O this O camera O for O anyone O who O is O looking O for O excellent O quality O pictures O and O a O combination O of O ease O of O use B-aspect and O the O flexibility O to O get O advanced O with O many O options O to O adjust O if O you O like O . O,Canon G3.txt,"picture quality[+3], use[+1], option[+1]","['picture quality', 'use', 'option']"
10,great O job O canon O ! O,Canon G3.txt,,[]
11,"this O is O my O first O digital O camera B-aspect , O and O what O a O ' O toy O ' O it O is O ! O",Canon G3.txt,camera[+2],['camera']
12,"i O am O a O software O engineer O and O am O very O keen O into O technical O details O of O everything O i O buy O , O i O spend O around O 3 O months O before O buying O the O digital O camera O ; O and O i O must O say O , O g3 O worth O every O single O cent O i O spent O on O it O . O",Canon G3.txt,,[]
13,"just O a O little O overview O , O powershot O g3 O is O the O flagship O of O canon O 's O powershot O series O and O its O an O slr-like O camera O , O its O 4 O megapixel O and O alsmost O full O manual O control O gives O the O pictures O a O touch O of O brilliance O . O",Canon G3.txt,picture[+2],['picture']
14,"whether O you O are O a O novice O or O an O expert O , O its O ease O of O use B-aspect and O functionality O goes O together O . O",Canon G3.txt,use[+1],['use']
15,"+ O you O can O have O different O kind O of O lens O if O you O want O + O flashes O , O etc O . O",Canon G3.txt,,[]
16,"as O its O 4mp O , O you O might O need O bigger O storage O to O store O high O quality O images O and O recording O movies O you O can O record O 3 O minutes O of O video O . O",Canon G3.txt,,[]
17,i O am O using O kingston O 512mb O cf O which O works O great O and O is O very O fast O . O,Canon G3.txt,,[]
18,"a O good O choice O could O be O cf O type O ii O , O microdrives O that O can O store O around O 1 O gb O of O images O . O",Canon G3.txt,,[]
19,some O things O that O i O did O n't O like O but O hey O . O nothing O is O perfect O . O,Canon G3.txt,,[]
20,well O thats O only O for O old-school O die-hard O optical O viewfinder O fans O use O lcd O instead O which O is O brilliant O and O you O can O twist O around O too O . O,Canon G3.txt,,[]
21,overall O i O 'm O happy O with O my O toy O . O,Canon G3.txt,camera[+2][p],['camera']
22,i O did O extensive O research O comparing O different O 4 O and O 5 O megapixel O cameras O . O,Canon G3.txt,,[]
23,"a O couple O of O online O camera O review O sites O were O extremely O helpful O , O as O they O provided O complete O exhaustive O reviews O of O nearly O every O camera O made O , O plus O provided O a O great O number O of O high O resolution O sample O images O to O compare O amongst O the O models O . O",Canon G3.txt,,[]
24,"following O my O research O , O i O decided O on O the O g3 O . O",Canon G3.txt,,[]
25,"in O a O word O , O `` O awesome O `` O is O how O i O would O describe O this O camera B-aspect . O",Canon G3.txt,camera[+3],['camera']
26,"i O wo O n't O go O into O the O details O here O , O as O the O online O sites O stevesdigicams O , O dpreviews O go O into O great O depth O in O their O reviews O , O but O i O am O very O pleased O with O the O features O , O the O speed B-aspect , O the O picture B-aspect quality I-aspect , O the O flexibility O , O the O automation O , O and O the O functional O conveniences O this O camera O offers O . O",Canon G3.txt,"speed[+2],picture quality[+2],function[+2]","['speed', 'picture quality', 'function']"
27,"with O the O automatic O settings O , O i O really O have O n't O taken O a O bad O picture O yet O . O",Canon G3.txt,auto setting[+2],['auto setting']
28,"and O with O the O panoramic O `` O stitch O `` O mode O , O it O guides O you O through O stitching O together O multiple O pictures O to O build O a O seamless O panoramic O image O . O",Canon G3.txt,,[]
29,"i O am O absolutely O in O awe O of O this O camera B-aspect , O canon O put O enormous O quality O into O the O g3 O . O",Canon G3.txt,camera[+3],['camera']
30,"do O n't O walk O , O run O and O buy O this O camera O if O you O have O the O budget O , O i O guarantee O you O will O not O be O disappointed O . O",Canon G3.txt,,[]
31,i O bought O my O canon B-aspect g3 I-aspect about O a O month O ago O and O i O have O to O say O i O am O very O satisfied O . O,Canon G3.txt,canon g3[+3],['canon g3']
32,i O have O taken O hundreds O of O photos O with O it O and O i O continue O to O be O amazed O by O their O quality O . O,Canon G3.txt,photo quality[+2],['photo quality']
33,"the O g3 O is O loaded O with O many O useful O features O , O and O unlike O many O smaller O digital O cameras O , O it O is O easy O to O hold O steady O when O using O slower O shutter O speeds O . O",Canon G3.txt,feature[+2],['feature']
34,"the O lens O is O visible O in O the O viewfinder B-aspect when O the O lens O is O set O to O the O wide O angle O , O but O since O i O use O the O lcd O most O of O the O time O , O this O is O not O really O much O of O a O bother O to O me O . O",Canon G3.txt,viewfinder[-1],['viewfinder']
35,still O i O am O a O little O suprised O that O canon O did O not O correct O this O design O flaw O before O releasing O the O camera O . O,Canon G3.txt,,[]
36,"despite O this O minor O disappointment O , O i O highly O recommend O the O canon O g3 O anyone O who O is O serious O about O digital O photography O . O",Canon G3.txt,camera[+2],['camera']
37,i O have O only O had O this O camera B-aspect for O one O full O day O and O i O have O to O say O that O it O is O wonderful O . O,Canon G3.txt,camera[+2],['camera']
