,text,dataset,aspect_str,aspects
0,i O am O a O business O user O who O heavily O depend O on O mobile O service O . O,Nokia 6610.txt,,[]
1,"there O is O much O which O has O been O said O in O other O reviews O about O the O features O of O this O phone B-aspect , O it O is O a O great O phone B-aspect , O mine O worked O without O any O problems O right O out O of O the O box O . O",Nokia 6610.txt,"phone[+3], work[+2]","['phone', 'work']"
2,just O double O check O with O customer O service O to O ensure O the O number O provided O by O amazon O is O for O the O city O / O exchange O you O wanted O . O,Nokia 6610.txt,,[]
3,"after O several O years O of O torture O in O the O hands O of O at B-aspect & I-aspect t I-aspect customer I-aspect service I-aspect i O am O delighted O to O drop O them O , O and O look O forward O to O august O 2004 O when O i O will O convert O our O other O 3 O family-phones O from O at O & O t O to O t-mobile O ! O",Nokia 6610.txt,at&t customer service[-2],['at&t customer service']
4,"i O have O had O the O phone O for O 1 O week O , O the O signal B-aspect quality I-aspect has O been O great O in O the O detroit O area O suburbs O and O in O my O recent O road O trip O between O detroit O and O northern O kentucky O cincinnati O i O experienced O perfect O signal O and O reception O along O i-75 O , O far O superior O to O at O & O # O 38 O ; O t O 's O which O does O not O work O along O several O long O stretches O on O that O same O route O . O",Nokia 6610.txt,signal quality[+3],['signal quality']
5,"i O have O owned O motorola O , O panasonic O and O nokia O phones O over O the O last O 8 O years O and O generally O prefer O nokia O , O this O phone O combines O many O of O the O best O nokia O features O , O the O only O feature O missing O for O me O is O the O voice O recognition O . O",Nokia 6610.txt,,[]
6,"my O favorite O features O , O although O there O are O many O , O are O the O speaker B-aspect phone I-aspect , O the O radio B-aspect and O the O infrared B-aspect . O",Nokia 6610.txt,"speaker phone[+2],radio[+2],infrared[+2]","['speaker phone', 'radio', 'infrared']"
7,"the O speaker B-aspect phone I-aspect is O very O functional O and O i O use O it O in O the O car O , O very O audible O even O with O freeway O noise O . O",Nokia 6610.txt,speaker phone[+2],['speaker phone']
8,"the O infrared B-aspect is O a O blessing O if O you O have O a O previous O nokia O and O want O to O transfer O your O old O phone O book O to O this O phone O , O saved O me O hours O of O re-entering O my O numbers O . O",Nokia 6610.txt,infrared[+2],['infrared']
9,"the O combination O of O the O nokia O 6610 O and O t-mobile O service O signal O , O price O , O service O is O a O winner O , O i O highly O recommend O it O . O",Nokia 6610.txt,,[]
10,the O day O finally O arrived O when O i O was O sure O i O 'd O leave O sprint B-aspect . O,Nokia 6610.txt,sprint[-2],['sprint']
11,"after O years O with O that O carrier O 's O expensive O plans O and O horrible O customer O service O , O portability O seemed O heaven-sent O . O",Nokia 6610.txt,"sprint plan[-2],sprint customer service[-3]","['sprint plan', 'sprint customer service']"
12,"i O 'd O always O eyed O the O nokia O phones O and O had O heard O decent O things O about O t-mobile O , O so O i O gave O it O a O whirl O . O",Nokia 6610.txt,,[]
13,"here O 's O the O brief O synopsis O : O the O phone O is O tiny O , O cute O , O feels O kind O of O `` O plastic-like O `` O as O if O it O might O break O , O but O seems O pretty O sturdy B-aspect . O",Nokia 6610.txt,"size[+1][u], sturdy[+2]","['size', 'sturdy']"
14,"it O has O lots O of O little O cute O features O , O my O favorite O being O the O games O and O the O pim B-aspect personal O information O manager O -- O i.e O . O organizer O , O and O the O radio B-aspect ! O",Nokia 6610.txt,"game[+2],pim[+2],radio[+2]","['game', 'pim', 'radio']"
15,"i O spent O hours O setting O up O the O stations O accepts O about O 13-14 O , O i O believe O , O though O the O reception B-aspect is O unpredictable O . O",Nokia 6610.txt,reception[-2],['reception']
16,"also O , O you O need O to O have O the O headset O plugged O in O all O the O time O to O have O the O radio O work O and O that O can O get O tedious O . O",Nokia 6610.txt,,[]
17,the O headset O that O comes O with O the O phone O has O good O sound B-aspect volume I-aspect but O it O hurts O the O ears O like O you O can O not O imagine O ! O,Nokia 6610.txt,"sound volume[+1], ear[-2]","['sound volume', 'ear']"
18,"the O phone O comes O with O okay O ringtones O , O some O decent O backgrounds O / O screensavers O , O but O the O phone O has O very O little O memory B-aspect mine O had O 230kb O as O it O arrived O from O amazon O , O so O you O do O n't O have O too O many O options O on O what O you O can O put O on O there O . O",Nokia 6610.txt,"ringtone[+1],background[+1],screensaver[+1],memory[-2]","['ringtone', 'background', 'screensaver', 'memory']"
19,the O colors O on O the O screen O are O not O as O crisp O as O i O 'd O have O liked O them O to O be O . O,Nokia 6610.txt,color[-2],['color']
20,"however O , O it O serves O its O purpose O . O",Nokia 6610.txt,,[]
