,text,dataset,aspect_str,aspects
0,I O purchased O this O monitor O because O of O budgetary O concerns O . O,Computer.txt,,[]
1,This O item O was O the O most O inexpensive B-aspect 17 O inch O monitor O available O to O me O at O the O time O I O made O the O purchase O . O,Computer.txt,inexpensive[+1][a] ,['inexpensive']
2,My O overall O experience O with O this O monitor B-aspect was O very O poor O . O,Computer.txt,monitor[-1] ,['monitor']
3,When O the O screen B-aspect was O n't O contracting O or O glitching O the O overall O picture B-aspect quality I-aspect was O poor O to O fair O . O,Computer.txt,"screen[-1], picture quality[-1] ","['screen', 'picture quality']"
4,I O 've O viewed O numerous O different O monitor B-aspect models O since O I O 'm O a O college O student O and O this O particular O monitor B-aspect had O as O poor O of O picture B-aspect quality I-aspect as O any O I O 've O seen O . O,Computer.txt,"monitor[-1], picture quality[-1] ","['monitor', 'picture quality']"
5,"A O week O out O of O the O box O and O I O began O to O see O slight O contractions O of O the O screen B-aspect from O time O to O time O , O growing O more O frequent O each O day O . O",Computer.txt,screen[-1] ,['screen']
6,Display B-aspect glitches O and O flashes O also O occurred O . O,Computer.txt,Display[-1] ,['Display']
7,I O could O tell O this O was O a O `` O cheap O '' O monitor B-aspect as O soon O as O I O set O it O up O . O,Computer.txt,monitor[-1] ,['monitor']
8,I O sent O it O back O and O now O will O search O for O a O better O quality O monitor O . O,Computer.txt,,[]
9,"I O 'd O stay O away O from O this O brand O , O that O is O , O if O you O ever O come O across O it O again O . O",Computer.txt,,[]
10,3G O Technologies O ? O,Computer.txt,,[]
11,Searches O across O the O Net O come O up O empty O with O these O guys O . O,Computer.txt,,[]
12,Two O thumbs O down O . O,Computer.txt,,[]
13,I O used O this O monitor B-aspect for O 2 O years O and O now O it O shows O a O mixture O of O various O colors B-aspect and O de-focused O text O . O,Computer.txt,"monitor[-1], colors[-1] ","['monitor', 'colors']"
14,I O had O a O dell O latitude O netbook O that O I O had O to O return O . O,Computer.txt,,[]
15,I O really O liked O the O size B-aspect so O I O researched O what O to O buy O and O this O was O it O . O,Computer.txt,size[+1] ,['size']
16,This O computer B-aspect has O an O excellent O screen O size O and O quality B-aspect -LRB- O for O a O netbook O -RRB- O . O,Computer.txt,"computer[+1], quality[+1] ","['computer', 'quality']"
17,It O is O bigger O than O the O dell O and O the O hp O mini O . O,Computer.txt,,[]
18,The O full O sized O keyboard B-aspect is O sweet O not O to O mention O the O aquamarine O color B-aspect . O,Computer.txt,"keyboard[+1], color[+1] ","['keyboard', 'color']"
19,"That O is O surface O stuff O , O but O the O speed B-aspect and O memory B-aspect is O very O good O . O",Computer.txt,"speed[+1], memory[+1] ","['speed', 'memory']"
20,I O use O a O netbook O for O all O of O my O computing O with O the O exception O of O tax O programming O and O backup O . O,Computer.txt,,[]
21,This O really O is O a O laptop B-aspect in O a O small O form B-aspect . O,Computer.txt,"laptop[+1], form[+1] ","['laptop', 'form']"
22,I O can O use O several O programs O at O once O with O little O difficulty O . O,Computer.txt,,[]
23,The O windows B-aspect 7 I-aspect premium I-aspect is O good O -LRB- O do O n't O recommend O starter O -RRB- O and O user O friendly O . O,Computer.txt,windows 7 premium[+1] ,['windows 7 premium']
24,"I O can O write O reports O , O check O social O network O , O pictures O , O check O email O , O read O reviews O , O and O shop O at O the O same O time O . O",Computer.txt,,[]
25,"It O is O slightly O slower B-aspect than O the O dell O , O but O it O is O hard O to O notice O with O the O very O nice O screen B-aspect quality I-aspect and O larger O hard B-aspect drive I-aspect . O",Computer.txt,"slower[-1][a], screen quality[+1], hard drive[+1] ","['slower', 'screen quality', 'hard drive']"
26,The O larger O screen B-aspect has O allowed O me O to O put O all O my O photos O on O it O -LRB- O could O n't O on O the O dell O -RRB- O and O edit O them O . O,Computer.txt,screen[+1] ,['screen']
27,This O has O turned O into O a O much O better O purchase O than O I O expected O and O it O is O very O light O . O,Computer.txt,,[]
28,Overall O a O sweet O machine B-aspect . O,Computer.txt,machine[+1] ,['machine']
29,"I O 've O purchased O two O of O these O netbooks O , O one O for O myself O and O the O other O for O my O girlfriend O . O",Computer.txt,,[]
30,"Sure O , O it O 's O no O laptop O , O but O you O could O have O fooled O me O . O",Computer.txt,,[]
31,"It O 's O very O light-weight B-aspect , O which O is O why O I O use O this O more O than O my O Alienware O . O",Computer.txt,light-weight[+1][a] ,['light-weight']
32,"It O does O just O what O I O need O once O fully O configured O : O Add O 4GB O of O ram O , O clean O out O pre-loaded O junkware O , O and O install O CCleaner O and O MS O Security O Essentials O . O",Computer.txt,,[]
33,Those O who O claim O that O this O netbook O falls O apart O need O to O stop O using O it O for O non-intended O uses O . O,Computer.txt,,[]
34,"It O 's O not O a O laptop O , O you O need O to O learn O its O limitations O -LRB- O no O Photoshop O or O power O apps O -RRB- O and O take O care O of O your O gear O . O",Computer.txt,,[]
35,Buy O a O neoprene O case O and O keep O it O protected O . O,Computer.txt,,[]
36,Most O people O who O have O device O failures O simply O push O their O gear O to O the O limits O and O then O when O it O fails O they O turn O around O and O cry O foul O on O the O manufacturer O . O,Computer.txt,,[]
37,"It O 's O just O such O a O nice O , O light-weight B-aspect , O non-intrusive O device B-aspect which O you O can O take O anywhere O . O",Computer.txt,"light-weight[+1][a], device[+1] ","['light-weight', 'device']"
38,I O 'm O not O a O fan O of O tablet O computers O . O,Computer.txt,,[]
39,"I O think O they O are O interesting O , O but O they O do O n't O serve O any O practical O uses O in O my O opinion O , O yet O . O",Computer.txt,,[]
40,At O least O from O a O work O standpoint O . O,Computer.txt,,[]
41,"You O wo O n't O be O disappointed O with O this O netbook O , O and O just O encase O you O may O want O to O purchase O a O Squaretrade O warranty O . O",Computer.txt,,[]
42,5\/5 O stars O . O,Computer.txt,,[]
43,I O really O love O this O netbook B-aspect . O,Computer.txt,netbook[+1] ,['netbook']
44,Huh O ? O ! O ? O ! O ? O ! O ? O ! O,Computer.txt,,[]
45,I O do O n't O get O all O the O negative O reviews O from O so O many O others O about O this O product O . O,Computer.txt,,[]
46,I O 've O had O this O monitor B-aspect for O over O a O year O and O I O absolutely O LOVE O IT O ! O,Computer.txt,monitor[+1] ,['monitor']
47,Now O I O do O n't O know O what O kind O of O video O card O and O connection O others O are O using O but O I O am O using O an O ATI O 9800 O Pro O and O have O the O monitor O hooked O into O the O DVI O Digital O Output O instead O of O the O standard O VGA O which O is O analog O . O,Computer.txt,,[]
48,I O do O n't O think O that O really O matters O though O - O I O mean O hooked O my O Xbox O 360 O up O to O the O standard O VGA O port O a O little O while O ago O and O the O picture B-aspect was O awesome O . O,Computer.txt,picture[+1] ,['picture']
49,"I O 'm O not O discounting O anyone O else O 's O opinion O of O the O product O by O any O means O because O maybe O theirs O came O from O a O bad O batch O or O something O , O but O just O so O others O can O hear O a O positive O review O from O someone O that O has O been O very O happy O with O their O purchase O for O a O while O now O ! O",Computer.txt,,[]
50,"The O only O reason O I O did O n't O give O it O 5 O stars O is O because O the O speakers B-aspect on O the O monitor B-aspect are O a O little O weak O , O but O that O 's O really O to O be O expected O is O n't O it O ... O",Computer.txt,"speakers[-1], monitor[-1] ","['speakers', 'monitor']"
51,This O netbook B-aspect is O exactly O what O I O want O for O my O kids O . O,Computer.txt,netbook[+1] ,['netbook']
52,"If O I O buy O something O for O me O , O I O would O consider O to O buy O the O same O too O . O",Computer.txt,,[]
53,it O is O lighter B-aspect to O carry O around O and O it O has O enough O functionality B-aspect to O use O . O,Computer.txt,"lighter[+1][a], functionality[+1] ","['lighter', 'functionality']"
54,Great O replacement O at O great O price B-aspect for O an O older O bulky O and O heavy O monitor O . O,Computer.txt,price[+1] ,['price']
55,Color B-aspect and O contrast B-aspect are O perfect O for O my O needs O . O,Computer.txt,"Color[+1], contrast[+1] ","['Color', 'contrast']"
56,Seems O like O a O good O product B-aspect . O,Computer.txt,product[+1] ,['product']
57,The O only O problem O I O have O is O the O clicker B-aspect on O the O mouse B-aspect pad I-aspect is O stiff O . O,Computer.txt,"clicker[-1], mouse pad[-1] ","['clicker', 'mouse pad']"
58,Very O compact O and O easy O for O travel O . O,Computer.txt,,[]
59,Excellent O monitor B-aspect . O,Computer.txt,monitor[+1] ,['monitor']
60,Clear O and O crispy O image B-aspect . O,Computer.txt,image[+1] ,['image']
61,"Very O , O very O satisfied O with O it O . O",Computer.txt,,[]
62,"My O fiance O ordered O this O computer B-aspect , O she O 's O a O teacher O so O she O needed O a O small B-aspect computer B-aspect that O would O keep O her O from O bringing O work O home O with O her O . O",Computer.txt,"small[+1][a], computer[+1] ","['small', 'computer']"
63,"We O got O this O on O time O , O and O it O was O brand O new O , O perfect O condition O , O performance B-aspect as O can O be O expected O for O the O machine O specifications O , O keep O in O mind O I O 'm O extremely O computer O savvy O , O so O my O opinion O comes O to O a O lot O of O people O . O",Computer.txt,performance[+1] ,['performance']
64,"I O highly O recommend O it O , O she O loves O it O and O we O 're O both O very O happy O with O the O purchase O . O",Computer.txt,,[]
65,"If O you O 're O debating O getting O this O item O , O I O would O n't O hesitate O any O longer O . O",Computer.txt,,[]
66,I O 'm O not O a O person O well O read O in O technology O but O this O is O just O an O absolutely O wonderful O computer B-aspect . O,Computer.txt,computer[+1] ,['computer']
67,"I O 've O been O playing O Minecraft O on O it O and O multi O tasking O at O the O same O time O , O and O while O it O does O run B-aspect slower O while O multi-tasking O , O the O gaming O experience O is O not O compromised O for O me O . O",Computer.txt,run[-1][v] ,['run']
68,The O keyboard B-aspect is O also O very O nice O and O quite O comfortable-although O it O does O take O some O getting O used O to O . O,Computer.txt,keyboard[+1] ,['keyboard']
69,I O do O n't O want O to O be O a O sensationalist O but O this O computer B-aspect is O incredible O . O,Computer.txt,computer[+1] ,['computer']
70,If O you O have O netbook B-aspect expectations O you O will O be O pleasantly O surprised O by O how O well O this O baby O runs O . O,Computer.txt,netbook[+1] ,['netbook']
71,If O you O have O notebook O expectations O you O will O feel O `` O meh O '' O towards O it O because O it O runs O like O a O low-grade O to O medium-grade O notebook O . O,Computer.txt,,[]
72,"Pros O : O The O capabilities O for O size O and O price O The O keyboard O size O Windows O Premium O The O look O Cons O : O Be O aware O that O the O finish O does O smudge O and O gets O finger O printy O , O but O all O polished O , O it O looks O incredible O Screen O size O -LRB- O but O its O a O netbook O , O duh O ! O -RRB- O",Computer.txt,,[]
73,Slow O to O download B-aspect and O run B-aspect certain O programs O Wish O you O the O best O and O hope O my O review O helped O ! O,Computer.txt,"download[-1][v], run[-1][v] ","['download', 'run']"
74,Doing O business O with O Amazon O is O pleasant O . O,Computer.txt,,[]
75,We O count O on O good O products B-aspect at O a O good O price B-aspect . O,Computer.txt,"products[+1], price[+1] ","['products', 'price']"
76,Our O purchase O of O an O Acer B-aspect Monitor I-aspect was O just O as O we O expected O . O,Computer.txt,Acer Monitor[+1] ,['Acer Monitor']
77,No O surprises O . O,Computer.txt,,[]
78,Received O this O item O within O a O few O days O of O ordering O . O,Computer.txt,,[]
79,Easy O to O hook B-aspect up I-aspect . O,Computer.txt,hook up[+1][v] ,['hook up']
80,Great O picture B-aspect . O,Computer.txt,picture[+1] ,['picture']
81,I O am O very O happy O with O this O monitor B-aspect . O,Computer.txt,monitor[+1] ,['monitor']
82,I O had O been O thinking O a O lot O about O changing O my O CRT O montior O to O LCD O monitor O . O,Computer.txt,,[]
83,"I O was O waiting O for O lower O pricess O , O faster O respons O time O & O wide O screen O monitor O . O",Computer.txt,,[]
84,"I O was O keeping O my O eye O on O Samsung O , O Benq O & O Acer O . O",Computer.txt,,[]
85,"Last O week O , O I O visited O JAREER O Bookstoor O in O Riyadh O -LRB- O Saudi O Arabia O -RRB- O I O found O this O LCD O . O",Computer.txt,,[]
86,"It O really O impressed O me O with O the O disign B-aspect , O the O specs O & O the O price B-aspect . O",Computer.txt,"disign[+1], price[+1] ","['disign', 'price']"
87,"So O , O I O could O not O wait O anylonger O & O I O got O it O . O",Computer.txt,,[]
88,I O will O provide O my O comments O about O the O disadvantages O only O because O the O advantages O you O may O get O it O from O the O product O specs O . O,Computer.txt,,[]
89,My O comments O are O as O follow O : O 1 O - O Does O n't O have O direct B-aspect Elictrical I-aspect connectivity I-aspect -LRB- O you O need O Adapter O which O is O comming O with O the O package O -RRB- O 2 O - O It O is O really O very O difficult O to O connect B-aspect the O the O power O Cable O & O the O regular O -LRB- O VGA O -RRB- O PC O connection O . O,Computer.txt,"direct Elictrical connectivity[-1], connect[-1][v] ","['direct Elictrical connectivity', 'connect']"
