,text,dataset,aspect_str,aspects
0,"repost O from O january O 13 O , O 2004 O with O a O better O fit O title O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
1,does O your O apex O dvd O player O only O play O dvd O audio O without O video O ? O,Apex AD2600 Progressive-scan DVD player.txt,,[]
2,or O does O it O play O audio O and O video O but O scrolling O in O black O and O white O ? O,Apex AD2600 Progressive-scan DVD player.txt,,[]
3,"before O you O try O to O return O the O player O or O waste O hours O calling O apex O tech O support O , O or O run O the O player O over O with O your O car O , O try O these O simple O troubleshooting O ideas O first O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
4,no O picture O : O,Apex AD2600 Progressive-scan DVD player.txt,,[]
5,hopefully O you O still O have O the O remote O control O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
6,"if O you O tossed O it O out O the O window O , O you O need O to O fetch O it O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
7,"using O the O remote O control O , O press O the O i/p O button O located O on O the O bottom O right O corner O of O the O remote O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
8,the O i/p O button O switches O the O tv O display O between O interlace O and O progressive O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
9,"if O this O doesnt O bring O back O the O picture O , O try O pressing O this O button O without O playing O a O dvd O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
10,"if O you O dont O get O video O back O , O now O you O can O run O the O player O over O with O your O car O ! O",Apex AD2600 Progressive-scan DVD player.txt,,[]
11,picture O scrolling O in O b/w O : O,Apex AD2600 Progressive-scan DVD player.txt,,[]
12,you O need O the O remote O control O for O this O so O you O better O get O it O from O your O dog O before O he O burries O it O in O the O backyard O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
13,press O the O p/n O button O located O on O the O bottom O right O corner O of O the O remote O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
14,the O p/n O button O switches O your O dvd O players O video O output O signal O between O pal O and O ntsc O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
15,"by O pressing O p/n O , O you O should O be O able O to O get O a O good O picture O on O the O screen O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
16,for O other O problems O go O to O http O : O //www.apexdigitalinc.com/support.asp O,Apex AD2600 Progressive-scan DVD player.txt,,[]
17,i O hope O i O have O helped O you O continue O to O enjoy O the O apex O dvd O player O with O these O troubleshooting O tips O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
18,i O have O done O some O research O and O experimenting O with O the O remote O when O my O apex O ad-2500 O seemed O to O have O lost O its O video O signal O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
19,im O a O more O happier O person O after O discovering O the O i/p B-aspect button I-aspect ! O,Apex AD2600 Progressive-scan DVD player.txt,i/p button[+2],['i/p button']
20,the O button O was O probably O accidentally O pushed O to O cause O the O black O screen O in O the O first O place O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
21,"but O , O if O you O 're O looking O for O my O opinion O of O the O apex O dvd B-aspect player I-aspect , O i O love O it O ! O",Apex AD2600 Progressive-scan DVD player.txt,dvd player[+2],['dvd player']
22,it O practically O plays O almost O everything O you O give O it O . O,Apex AD2600 Progressive-scan DVD player.txt,dvd player[+1][p],['dvd player']
23,i O 've O had O the O player B-aspect for O about O 2 O years O now O and O it O still O performs O nicely O with O the O exception O of O an O occasional O wwhhhrrr O sound B-aspect from O the O motor O . O,Apex AD2600 Progressive-scan DVD player.txt,"player[+2],sound[-1]","['player', 'sound']"
24,for O the O price B-aspect it O is O a O well O spent O investment O ! O,Apex AD2600 Progressive-scan DVD player.txt,price[+2],['price']
25,i O would O recommend O buying O one O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
26,i O 've O owned O 6 O or O 7 O dvd O players O since O 1998 O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
27,"this O is O by O far O the O nicest O one O , O in O so O many O ways O . O",Apex AD2600 Progressive-scan DVD player.txt,dvd player[+3][p],['dvd player']
28,"it O 's O very O sleek O looking O with O a O very O good O front O panel B-aspect button I-aspect layout I-aspect , O and O it O has O a O great O feature B-aspect set O . O",Apex AD2600 Progressive-scan DVD player.txt,"look[+3],panel button layout[+3],feature[+2]","['look', 'panel button layout', 'feature']"
29,its O fast-forward B-aspect and O rewind B-aspect work O much O more O smoothly O and O consistently O than O those O of O other O models O i O 've O had O . O,Apex AD2600 Progressive-scan DVD player.txt,"forward[+2], rewind[+2]","['forward', 'rewind']"
30,"it O plays O alternate O video O formats O vcds O , O svcds O , O cvds O very O well O . O",Apex AD2600 Progressive-scan DVD player.txt,video format[+3],['video format']
31,and O amazon.com O has O it O for O such O a O great O price B-aspect -- O how O can O you O go O wrong O ? O,Apex AD2600 Progressive-scan DVD player.txt,price[+3],['price']
32,i O 've O bought O one O for O the O den O and O will O buy O a O 2nd O one O for O the O bedroom O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
33,strengths O are O well O listed O by O other O reviewers O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
34,"what O got O me O to O buy O was O the O reviewer O that O said O it O would O play B-aspect dvd-rs O fill O of O files O e. O , O mp3s O . O",Apex AD2600 Progressive-scan DVD player.txt,"play[+2], dvd-r[+1]","['play', 'dvd-r']"
35,it O sure O does O ! O,Apex AD2600 Progressive-scan DVD player.txt,dvd-r[+1][p],['dvd-r']
36,that O 's O a O rare O and O valuable O feature O . O,Apex AD2600 Progressive-scan DVD player.txt,dvd-r[+2][p],['dvd-r']
37,"i O have O a O dvd O burner O on O my O computer O and O a O zillion O mp3s O , O and O it O 's O a O lot O nicer O to O access O them O 4.5 O gb O at O a O time O dvd-r O than O 0.7 O gb O at O a O time O cd-r O ! O",Apex AD2600 Progressive-scan DVD player.txt,,[]
38,"another O nice O thing O is O that O the O unit O has O both O optical O and O coax O digital O audio O outputs O , O though O the O latter O was O not O mentioned O in O the O literature O i O 'd O scanned O before O buying O . O",Apex AD2600 Progressive-scan DVD player.txt,audio output[+2],['audio output']
39,"saved O me O from O having O to O buy O an O expensive O optical O cable O , O as O i O already O had O a O coax O cable O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
40,"at O double-speed O 2x O forward B-aspect speed O , O it O still O plays O mp3s O with O sound O -- O they O are O pitch-corrected O and O smooth O , O but O twice O as O fast O ! O",Apex AD2600 Progressive-scan DVD player.txt,forward[+2],['forward']
41,"i O wish O it O would O do O the O same O for O movies O , O but O that O 's O one O rare O / O cool O feature O you O will O have O to O forgo O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
42,"weaknesses O are O minor O : O the O feel O and O layout O of O the O remote B-aspect control I-aspect are O only O so-so O ; O it O does O n't O show O the O complete O filenames O of O mp3s O with O really O long O names O ; O you O must O cycle O through O every O zoom O setting O 2x O , O 3x O , O 4x O , O 1/2x O , O etc O . O before O getting O back O to O normal O size O [ O sorry O if O i O 'm O just O ignorant O of O a O way O to O get O back O to O 1x O quickly O ] O . O",Apex AD2600 Progressive-scan DVD player.txt,"remote control[-1], mp3 filename[-1]","['remote control', 'mp3 filename']"
43,"if O you O 're O a O bargain O hunter O and O you O want O a O great O feature O set O for O a O rock-bottom O price O , O i O highly O recommend O this O model O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
44,update O : O the O finish B-aspect is O more O `` O mirror O `` O than O silver O -- O and O i O like O it O ! O,Apex AD2600 Progressive-scan DVD player.txt,finish[+2],['finish']
45,many O of O our O disney O movies O do O n't O play B-aspect on O this O dvd O player O . O,Apex AD2600 Progressive-scan DVD player.txt,"play[-2], disney movie[-2]","['play', 'disney movie']"
46,i O spoke O to O a O rep. O at O apex O and O was O told O that O a O new O format O is O being O used O and O we O wont O be O able O to O view O any O disney O movies O made O in O the O last O couple O months O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
47,player O has O a O problem O with O dual-layer B-aspect dvd I-aspect 's O such O as O alias O season O 1 O and O season O 2 O . O,Apex AD2600 Progressive-scan DVD player.txt,dual-layer dvd[-2],['dual-layer dvd']
48,"for O the O money O , O get O a O better O quality O player O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
49,player B-aspect works O and O looks O great O - O if O you O can O get O the O dvd O 's O to O play O . O,Apex AD2600 Progressive-scan DVD player.txt,"player[+1], look[+3]","['player', 'look']"
50,i O know O the O saying O is O `` O you O get O what O you O pay O for O `` O but O at O this O stage O of O game O dvd O players O must O have O better O quality O than O this O - O there O is O no O excuse O . O,Apex AD2600 Progressive-scan DVD player.txt,player[-3],['player']
51,will O never O purchase O apex B-aspect again O . O,Apex AD2600 Progressive-scan DVD player.txt,apex[-3],['apex']
52,customer B-aspect service I-aspect and O technical B-aspect support I-aspect are O overloaded O and O nonresponsive O - O tells O you O about O the O quality O of O their O products O and O their O willingness O to O stand O behind O them O . O,Apex AD2600 Progressive-scan DVD player.txt,"customer service[-3], technical support[-3]","['customer service', 'technical support']"
53,"pass O this O player O up O , O and O never O believe O the O reviews O on O a O product O right O before O christmas O ! O",Apex AD2600 Progressive-scan DVD player.txt,,[]
54,"for O the O first O few O weeks O , O this O player O was O everything O i O expected O it O to O be O , O an O affordable O multi-format O dvd O player O with O a O stylish O slim O case B-aspect as O advertised O . O",Apex AD2600 Progressive-scan DVD player.txt,case[+2],['case']
55,"then O my O dvds O would O stop O playing O in O the O middle O , O or O not O even O be O read B-aspect at O all O . O",Apex AD2600 Progressive-scan DVD player.txt,"dvd[-2], read[-2], play[-2]","['dvd', 'read', 'play']"
56,new O cds O almost O always O began O skipping O after O a O few O plays O . O,Apex AD2600 Progressive-scan DVD player.txt,cd[-2],['cd']
57,"i O thought O it O was O just O the O player B-aspect , O but O then O i O started O checking O the O discs O to O find O that O the O apex O 2600 O is O actually O ruining O my O media O . O",Apex AD2600 Progressive-scan DVD player.txt,player[-3],['player']
58,there O are O funny O little O ridges O on O the O dvd O that O look O like O the O slice O of O a O tree O trunk O ! O,Apex AD2600 Progressive-scan DVD player.txt,,[]
59,this O player B-aspect is O not O worth O any O price O and O i O recommend O that O you O do O n't O purchase O it O . O,Apex AD2600 Progressive-scan DVD player.txt,player[-3],['player']
60,"i O intend O to O contact O the O company O , O but O from O what O i O 've O read O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
61,i O just O got O screwed O out O of O fifty O bucks O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
62,apex O does O n't O answer O the O phone O . O,Apex AD2600 Progressive-scan DVD player.txt,support[-3][u],['support']
63,no O way O to O contact O their O customer B-aspect service I-aspect . O,Apex AD2600 Progressive-scan DVD player.txt,customer service[-2],['customer service']
64,very O bad O quality B-aspect . O,Apex AD2600 Progressive-scan DVD player.txt,quality[-3],['quality']
65,i O bought O this O apex O 2600 O dvd O player B-aspect for O myself O at O christmas O because O it O got O good O reviews O as O a O good O value O for O the O money O on O a O variety O of O different O sites O . O,Apex AD2600 Progressive-scan DVD player.txt,player[+2],['player']
66,i O took O it O to O my O father O 's O house O to O play O a O tom O jones O concert O dvd O and O he O loved O the O player B-aspect so O much O i O gave O it O to O him O . O,Apex AD2600 Progressive-scan DVD player.txt,player[+1],['player']
67,now O i O need O to O buy O myself O another O one O ! O,Apex AD2600 Progressive-scan DVD player.txt,,[]
68,have O used O it O frequently O and O have O had O no O problems O . O,Apex AD2600 Progressive-scan DVD player.txt,player[+2][p],['player']
69,"i O always O research O electronics O online O before O i O buy O because O even O within O the O same O company O , O some O models O are O better O than O others O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
70,i O liked O this O one O enough O to O buy O another O . O,Apex AD2600 Progressive-scan DVD player.txt,player[+2][p],['player']
71,my O dad O also O has O an O apex B-aspect tv O and O it O was O another O great O value O for O the O money O . O,Apex AD2600 Progressive-scan DVD player.txt,apex[+2],['apex']
72,great O quality O picture O and O features O . O,Apex AD2600 Progressive-scan DVD player.txt,"picture quality[+2],feature[+2]","['picture quality', 'feature']"
73,thought O i O 'd O weigh O in O here O with O my O stats O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
74,i O 've O bought O 3 O apex O dvd O players O now O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
75,"they O play O just O about O everything O , O but O # O 2 O and O # O 3 O died O very O shortly O after O getting O them O . O",Apex AD2600 Progressive-scan DVD player.txt,player[-2][p],['player']
76,i O am O back O to O using O # O 1 O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
77,"nice O machines O , O but O i O consider O their O quality O pretty O low O now O . O",Apex AD2600 Progressive-scan DVD player.txt,player[-1],['player']
78,this O item O broke O just O two O weeks O after O i O gave O it O to O my O kids O for O christmas O . O,Apex AD2600 Progressive-scan DVD player.txt,player[-2][u],['player']
79,the O door B-aspect would O not O close O . O,Apex AD2600 Progressive-scan DVD player.txt,door[-2],['door']
80,i O tried O to O contact O apex O to O return O it O i O missed O the O amazon O return O period O and O it O took O 3 O months O to O get O through O to O their O customer B-aspect service I-aspect dept O . O,Apex AD2600 Progressive-scan DVD player.txt,customer service[-3],['customer service']
81,i O am O still O trying O to O resolve O it O four O months O later O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
82,it O looks O great O - O and O is O loaded O with O features O . O,Apex AD2600 Progressive-scan DVD player.txt,"look[+2], feature[+2]","['look', 'feature']"
83,unfortunately O it O turns O out O to O be O the O `` O disposable O `` O type O . O,Apex AD2600 Progressive-scan DVD player.txt,player[-2][p],['player']
84,have O had O problems O since O the O first O day O,Apex AD2600 Progressive-scan DVD player.txt,player[-2][u],['player']
85,"- O not O playing O some O dvds O and O then O finally O after O less O than O 60 O days O , O it O just O would O not O recognize O anything O i O pop O in O it O . O",Apex AD2600 Progressive-scan DVD player.txt,"play[-2], dvd[-2]","['play', 'dvd']"
86,save O money O on O the O long O run O - O buy O something O decent O once O instead O of O buying O cheap O every O month O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
87,the O apex B-aspect 2600 O has O been O a O steady O performer O for O me O . O,Apex AD2600 Progressive-scan DVD player.txt,apex[+2],['apex']
88,"i O bought O mine O in O december O of O 2003 O , O and O have O had O no O real O problems O with O it O . O",Apex AD2600 Progressive-scan DVD player.txt,player[+1][p],['player']
89,it O does O tend O to O run O quite O hot O and O should O be O given O lots O of O room O for O air O circulation O . O,Apex AD2600 Progressive-scan DVD player.txt,heat[-1][u],['heat']
90,it O did O also O seem O to O have O a O strong O `` O new O electronics O `` O smell B-aspect for O some O time O . O,Apex AD2600 Progressive-scan DVD player.txt,smell[-2],['smell']
91,"the O only O thing O i O did O experience O was O a O problem O of O the O player O freezing B-aspect while O playing O , O which O i O was O able O to O clear O by O opening O it O up O and O blowing O it O out O with O `` O canned O air O . O `` O",Apex AD2600 Progressive-scan DVD player.txt,freezing[-1],['freezing']
92,"this O problem O vanished O after O the O first O month O , O so O i O assume O it O was O a O temporary O dust O issue O . O",Apex AD2600 Progressive-scan DVD player.txt,,[]
93,the O two O main O reasons O i O had O for O getting O this O model O were O the O range O of O disks O types O played O and O the O recommendation O of O a O friend O . O,Apex AD2600 Progressive-scan DVD player.txt,,[]
94,"he O had O owned O two O apex O dvd O players O , O and O was O pleased O with O both O of O them O . O",Apex AD2600 Progressive-scan DVD player.txt,player[+2],['player']
95,"the O fact O that O this O model O would O play O jpeg O slideshows O was O a O big O plus O for O me O as O a O visual O artist O , O and O i O discovered O by O accident O it O is O not O mentioned O anywhere O in O the O literature O that O it O will O play O mpeg1 B-aspect files O on O a O regular O cd-r O data O disk O without O vcd O formatting O . O",Apex AD2600 Progressive-scan DVD player.txt,"jpeg slideshow[+2],mpeg1[+1]","['jpeg slideshow', 'mpeg1']"
