,text,dataset,aspect_str,aspects
0,"The O world O of O MP3 O players O is O blinding O , O and O since O most O people O do O n't O understand O the O technology O [ O myself O included O ] O , O user-friendliness O is O EXTREMELY O IMPORTANT O . O",MicroMP3.txt,,[]
1,"Unfortunately O , O Creative O offered O scant O few O pages O of O instruction B-aspect , O which O meant O that O I O was O on O own O from O the O outset O . O",MicroMP3.txt,instruction[-2] ,['instruction']
2,"After O attempting O to O navigate B-aspect the O clumsy O touch-pad O system O , O I O could O not O get O the O unit O to O download O my O wma O files O . O",MicroMP3.txt,"touch-pad[-2], navigate[-3] ","['touchpad', 'navigate']"
3,"When O most O of O us O purchase O these O little O devises O , O we O do O so O because O of O their O diminuitive O size O and O extraordinary O storage O capacities O . O",MicroMP3.txt,,[]
4,"SO O , O YOU O MIGHT O INQUIRE O , O WHY O DO O N'T O THEY O MAKE O IT O A O FIRST O PRIORITY O TO O CAREFULLY O , O SIMPLY O explain B-aspect HOW O DOWNLOAD O MUSIC O FROM O YOUR O MUSIC O LIBRARY O TO O THEIR O DEVICE O ? O ? O ? O This O seems O academic O to O me O . O",MicroMP3.txt,EXPLAIN[-3] ,['explain']
5,"Most O of O us O just O want O to O plug O and O play O , O not O spend O a O year O navigating B-aspect a O maze O of O complicated O options O ... O like O transfering O everything O on O a O hard O drive O to O this O stupid O thing O . O",MicroMP3.txt,navigating[-3] ,['navigating']
6,I O do O n't O care O what O ELSE O it O can O do O . O,MicroMP3.txt,,[]
7,"I O just O want O MUSIC O to O eminate O from O it O when O I O want O , O how O I O want O . O",MicroMP3.txt,,[]
8,"All O of O this O said O [ O as O it O 's O on O it O 's O way O back O to O Amazon O ] O , O the O one O song O it O did O include O provided O far O better O sound B-aspect than O the O IPOD O . O",MicroMP3.txt,sound[+2] ,['sound']
9,The O base O was O deeper O and O the O highs B-aspect were O crisper O . O,MicroMP3.txt,"bass[+2],highs[+2} ","['bass', 'highs']"
10,"Unfortunately O , O the O touch-pad O issues O [ O non-intuitive O ] O and O poor O instruction B-aspect guide O killed O it O . O",MicroMP3.txt,"touch-pad[-3], instruction[-3] ","['touchpad', 'instruction']"
11,Why O get O locked O in O to O crappy O Itunes O weather O you O want O to O or O not O ? O,MicroMP3.txt,,[]
12,"what O a O kick O butt O Mp3 O machine B-aspect and O the O freedom O to O get O songs O from O a O reasonable O source O , O instead O of O paying O for O them O two O or O three O times O , O then O get O the O Creative O Zen O IPOD O killer O , O kiss O my O ass O Itunes O ! O",MicroMP3.txt,machine[+3] ,['machine']
13,i O got O 6000 O mp3 O 's O you O 'll O never O register O or O gay O up O . O,MicroMP3.txt,,[]
14,"Two O days O after O writing O this O review O below O , O I O want O to O remove O another O two O stars O . O",MicroMP3.txt,,[]
15,I O just O discovered O another O con O in O my O list O of O pros O and O cons O . O,MicroMP3.txt,,[]
16,This O one O is O particularly O bothersome O : O Allegedly O one O can O use O the O zen B-aspect micro I-aspect as O a O portable O drive O to O store O and O transport O data O from O one O computer O to O another O . O,MicroMP3.txt,Zen Micro[-2] ,['zen micro']
17,"Ahhh O ! O There O is O a O catch O , O the O manufacturer O does O not O tell O you O . O",MicroMP3.txt,,[]
18,"Although O you O can O store B-aspect any O type O of O file O on O the O Zen O Micro O to O download O onto O a O different O computer O , O you O need O to O install B-aspect ( O on O the O computer O you O are O moving O the O data O to O ) O Zen O Micro O software O and O drivers O to O do O it O ! O ! O ! O",MicroMP3.txt,"store[+2], INSTALL[-2] ","['store', 'install']"
19,"I O just O tried O to O move O a O load O of O plain O data O files O from O my O home O computer O to O my O office O work O computer O , O and O it O is O promting O me O to O install O Zen O Micro O software O , O etc O ... O . O",MicroMP3.txt,,[]
20,I O have O used O similar O devices O and O they O are O seamless O and O simple O . O,MicroMP3.txt,,[]
21,Who O wants O to O go O through O the O hassles O of O loading O software B-aspect onto O a O `` O foreign O '' O computer O just O to O move O over O some O simple O ( O *.txt O ) O files O ? O,MicroMP3.txt,software[-2] ,['software']
22,This O brings O my O review O to O one O star O ! O,MicroMP3.txt,,[]
23,But O Amazon O wo O n't O allow O me O to O reduce O the O number O of O stars O once O I O have O already O established O three O two O days O ago O . O,MicroMP3.txt,,[]
24,"The O sound B-aspect is O great O , O the O portability B-aspect , O etc O ... O all O the O `` O stuff O '' O you O expect O from O a O good O MP-3 O player O , O this O Zen O Micro O has O it O . O",MicroMP3.txt,"sound[+3], portability[+2] ","['sound', 'portability']"
25,It O COULD O have O been O a O great O product O . O,MicroMP3.txt,,[]
