,text,dataset,aspect_str,aspects
0,I O want O to O start O off O saying O that O this O camera O is O small B-aspect for O a O reason O . O,Canon S100.txt,small[+1],['small']
1,"Some O people O , O in O their O reviews O , O complain O about O its O small O size O , O and O how O it O does O n't O compare O with O larger O cameras O . O",Canon S100.txt,,[]
2,"I O 'm O in O high O school O , O and O this O camera B-aspect is O perfect O for O what O I O use O it O for O , O carrying O it O around O in O my O pocket O so O I O can O take O pictures O whenever O I O want O to O , O of O my O friends O and O of O funny O things O that O happen O . O",Canon S100.txt,"camera[+3],size[+2]","['camera', 'size']"
3,The O only O thing O I O do O n't O like O is O the O small O size O 8 O MEG O memory B-aspect card O that O comes O with O it O . O,Canon S100.txt,memory[-2],['memory']
4,"I O have O to O move O pictures O off O of O it O every O day O so O I O have O room B-aspect for O more O pictures O the O next O , O and O I O do O n't O have O enough O money O to O buy O the O 256 O MEG O card O that O I O 've O had O my O eye O on O for O a O while O . O",Canon S100.txt,room[-2],['room']
5,A O larger O memory B-aspect card O and O extra O battery B-aspect are O good O things O to O buy O . O,Canon S100.txt,"memory[-1][s],battery[-1]","['memory', 'battery']"
6,"Other O than O that O pictures B-aspect taken O in O the O dark O are O not O as O nice O as O I O 'd O like O them O , O",Canon S100.txt,pictures[-2],['pictures']
7,I O 'd O say O that O this O camera B-aspect is O perfect O . O,Canon S100.txt,camera[+3],['camera']
8,"OK O , O not O quite O everything O ... O but O this O camera O is O so O compact B-aspect that O you O will O have O it O by O your O side O when O you O need O it O . O",Canon S100.txt,compact[+2],['compact']
9,"I O bought O this O camera O for O the O same O reason O many O of O you O are O considering O it O , O or O have O already O bought O it O -- O it O 's O size B-aspect . O",Canon S100.txt,size[+2],['size']
10,"It O is O amazingly O small B-aspect , O it O 's O hard O to O believe O all O that O has O been O packed O into O this O camera O . O",Canon S100.txt,small[+3],['small']
11,"I O take O it O with O me O everywhere O , O literally O , O",Canon S100.txt,,[]
12,"it O is O so O small B-aspect that O I O am O able O to O keep O it O in O my O pocket O , O and O I O do O n't O have O to O fear O that O it O will O get O ruined O in O my O pocket O because O it O is O so O durable B-aspect . O",Canon S100.txt,"small[+3],durable[+2]","['small', 'durable']"
13,"There O is O also O a O small O covering B-aspect for O the O lens O , O so O you O need O not O worry O that O the O lens O will O get O scratched O . O",Canon S100.txt,covering[+2],['covering']
14,"The O picture B-aspect quality O surprised O me O , O when O I O first O saw O this O camera O I O saw O how O small B-aspect it O was O an O instantly O assumed O that O the O picture B-aspect quality O would O not O be O good O -- O but O I O was O wrong O ! O",Canon S100.txt,"picture[+3],small[+2]","['picture', 'small']"
15,The O picture B-aspect quality O of O this O camera O is O outstanding O taking O its O ' O size O and O price O into O consideration O . O,Canon S100.txt,picture[+3],['picture']
16,"However O , O I O do O have O a O few O things O to O complain O about O ... O",Canon S100.txt,,[]
17,"First O off O , O the O battery B-aspect . O",Canon S100.txt,battery[-2],['battery']
18,"This O camera O uses O a O lithium O battery B-aspect , O I O find O lithium O batteries O to O be O highly O inconvenient O ; O because O what O if O you O are O on O vacation O , O where O the O nearest O place O to O buy O batteries O is O just O a O gas O station O -- O there O is O no O way O that O you O are O going O to O find O lithium O batteries O there O . O",Canon S100.txt,battery[-2],['battery']
19,"Not O only O is O it O inconvenient O , O but O also O the O battery B-aspect life O span O is O short O . O",Canon S100.txt,battery[-2],['battery']
20,The O longest O I O 've O had O it O work O was O about O 1 O hour O and O 45 O minutes O . O,Canon S100.txt,,[]
21,"This O is O n't O uncommon O in O cameras O , O though O , O just O as O long O as O you O bring O your O charger O and O spare O batteries B-aspect , O you O should O be O fine O . O",Canon S100.txt,batteries[-1],['batteries']
22,Another O problem O I O had O with O this O camera O was O the O zoom B-aspect function O . O,Canon S100.txt,zoom[-2],['zoom']
23,Such O a O small O zoom O length O that O you O would O think O that O the O zoom O would O be O silent O since O it O hardly O zooms B-aspect in O ... O wrong O ! O,Canon S100.txt,zooms[-2],['zooms']
24,Very O wrong O . O,Canon S100.txt,,[]
25,The O zoom B-aspect function O on O this O camera O is O so O loud O that O sometimes O you O will O be O unable O to O use O it O if O you O find O yourself O in O a O situation O where O you O must O be O quiet O . O,Canon S100.txt,zoom[-2],['zoom']
26,"Even O just O turning O the O camera O on O will O move O the O lens O a O little O , O resulting O in O a O noisy O start-up B-aspect . O",Canon S100.txt,start-up[-2],['start-up']
27,The O flash B-aspect is O very O weak O . O,Canon S100.txt,flash[-2],['flash']
28,"Really O dissapointing O . O If O you O are O inside O , O you O ca O n't O be O any O farther O away O then O 10 O feet O in O a O lit O room O . O",Canon S100.txt,,[]
29,The O last O problem O I O found O with O this O camera O was O the O macro B-aspect function O . O,Canon S100.txt,macro[-2],['macro']
30,The O auto-focus B-aspect on O the O camera O seems O to O have O trouble O focusing O on O the O subject O . O,Canon S100.txt,auto-focus[-2],['auto-focus']
31,"To O make O matters O work B-aspect , O there O is O no O manual O override O to O overcome O this O problem O . O",Canon S100.txt,work[-2],['work']
32,"The O focus B-aspect is O great O , O though O , O if O you O are O not O taking O a O macro O shot O . O",Canon S100.txt,focus[+2],['focus']
33,"These O are O all O the O flaws O I O found O in O the O camera O , O",Canon S100.txt,,[]
